id,value
방림	,	94995
인터지스	,	94598
CS홀딩스	,	94437
한국종합기술	,	94280
KCTC	,	94200
대원전선	,	93988
삼성 인버스 인도 Nifty50 선물 ETN(H)	,	93800
영보화학	,	93500
일진다이아	,	93156
인디에프	,	92819
태양금속	,	91567
KEC	,	91417
수산중공업	,	91235
동원	,	91014
KOSEF 미국달러선물 레버리지(합성)	,	90780
SK케미칼우	,	90430
파워 코스피100	,	90428
DSR제강	,	90144
대신증권2우B	,	89900
KBSTAR 국고채3년	,	89845
형지엘리트	,	89843
금호석유우	,	89798
코오롱인더우	,	89540
사조해표	,	88426
KPX그린케미칼	,	88100
금비	,	87900
대림통상	,	86021
동남합성	,	85772
코오롱머티리얼	,	84825
삼부토건	,	83868
영화금속	,	81585
만호제강	,	81340
고려산업	,	81303
인지컨트롤스	,	80955
써니전자	,	80637
한농화성	,	80531
한국프랜지	,	80389
유니켐	,	80294
한익스프레스	,	78720
서원	,	78570
SJM홀딩스	,	78404
이구산업	,	78254
갤럭시아에스엠	,	77690
백광소재	,	77646
덕성	,	77616
대우부품	,	76949
GS우	,	76748
대한방직	,	75790
금호전기	,	75385
진도	,	74935
국제약품	,	74283
KC코트렐	,	73970
남성	,	73873
유유제약	,	73629
모나미	,	73227
KOSEF 국고채3년	,	72953
화인베스틸	,	72867
동국실업	,	72795
두산2우B	,	72744
남광토건	,	72298
한국내화	,	71906
WISCOM	,	71148
한국석유	,	70762
한창제지	,	69811
대경기계	,	69688
엔케이	,	69311
수출포장	,	69200
신송홀딩스	,	68962
TIGER 차이나HSCEI	,	68656
유엔젤	,	68220
세화아이엠씨	,	68088
보락	,	67687
문배철강	,	67662
삼성 유럽 고배당 주식 ETN(H)	,	67400
KODEX 배당성장	,	66998
TIGER 미국S&P500선물(H)	,	66643
금호에이치티	,	66597
KODEX China H	,	65975
부국증권우	,	65850
베트남개발1	,	65353
LG하우시스우	,	65346
인팩	,	65100
KB 코스피200선물플러스 ETN	,	65100
TRUE 코스피 커버드콜 ETN	,	64875
KOSEF 미국달러선물	,	64068
유니온	,	63930
선도전기	,	63810
KB KQ 우량주30 ETN	,	63675
일성건설	,	63550
영풍제지	,	63492
TIGER 배당성장	,	63469
KODEX 골드선물(H)	,	63416
혜인	,	62420
제일연마	,	62200
KB Quant비중조절 ETN	,	62188
부국철강	,	61500
평화산업	,	61342
삼성 KTOP30 ETN	,	61300
태경화학	,	61248
QV Big Vol ETN	,	61175
동방	,	60820
남영비비안	,	60781
에이엔피	,	60613
조비	,	60388
TIGER 농산물선물Enhanced(H)	,	60261
국동	,	60238
MH에탄올	,	60135
아티스	,	59445
서울식품	,	59249
신한 K200 USD 선물 바이셀 ETN	,	58450
한일철강	,	58140
KB KTOP30 ETN	,	57875
한창	,	57546
케이탑리츠	,	57529
범양건영	,	57273
주연테크	,	57100
평화홀딩스	,	56016
원림	,	55770
동일제강	,	55275
QV WISE 배당 ETN	,	55150
미래에셋 미국 바이백 ETN(H)	,	55100
미래아이앤지	,	54049
암니스	,	53953
우리들휴브레인	,	53836
TIGER 차이나CSI300인버스(합성)	,	53780
TCC동양	,	53622
이화산업	,	53620
유화증권우	,	53303
ARIRANG 코스피	,	52310
다우인큐브	,	52247
KBSTAR 중기우량회사채	,	52150
녹십자홀딩스1우	,	52069
